X	Y	Z	T
296261.206	2779393.759	3.040	41782.41177451
296260.843	2779394.600	3.040	41782.41178609
296260.471	2779395.449	3.060	41782.41179766
296260.099	2779396.289	3.050	41782.41180924
296259.699	2779397.135	3.050	41782.41182081
296259.327	2779397.975	3.040	41782.41183238
296258.944	2779398.831	3.060	41782.41184396
296258.578	2779399.675	3.050	41782.41185553
296258.205	2779400.527	4.050	41782.41186711
296257.829	2779401.371	4.060	41782.41187868
296257.444	2779402.216	4.070	41782.41189025
296257.054	2779403.076	4.070	41782.41190183
296256.686	2779403.927	4.060	41782.41191340
296256.313	2779404.785	4.070	41782.41192498
296255.943	2779405.620	4.070	41782.41193655
296255.550	2779406.454	3.530	41782.41194813
296255.142	2779407.294	4.050	41782.41195970
296254.758	2779408.141	4.080	41782.41197127
296254.363	2779409.006	4.080	41782.41198285
296253.984	2779409.840	4.050	41782.41199442
296253.605	2779410.691	4.100	41782.41200600
296253.229	2779411.595	4.330	41782.41201757
296252.871	2779412.464	3.610	41782.41202914
296252.500	2779413.321	4.190	41782.41204072
296252.114	2779414.174	0.010	41782.41205229
296251.361	2779415.868	-0.010	41782.41207544
296250.621	2779417.568	0.010	41782.41209859
296250.261	2779418.427	0.010	41782.41211016
296248.011	2779423.481	0.010	41782.41217961
296247.321	2779425.173	0.010	41782.41220275
296246.978	2779425.983	0.020	41782.41221433
296246.264	2779427.648	-0.010	41782.41223748
296245.903	2779428.472	0.020	41782.41224905
296245.540	2779429.296	0.010	41782.41226063
296245.183	2779430.125	-0.010	41782.41227220
296244.477	2779431.769	0.020	41782.41229535
296244.131	2779432.586	-0.010	41782.41230692
296243.789	2779433.401	-0.010	41782.41231850
296243.430	2779434.210	0.010	41782.41233007
296243.082	2779435.009	0.010	41782.41234164
296242.715	2779435.833	-0.010	41782.41235322
296242.020	2779437.468	0.020	41782.41237637
296241.363	2779439.125	-0.020	41782.41239951
296241.009	2779439.952	0.020	41782.41241109
296240.651	2779440.782	0.010	41782.41242266
296240.296	2779441.615	-0.020	41782.41243424
296239.948	2779442.444	4.130	41782.41244581
296239.578	2779443.274	0.030	41782.41245738
296238.842	2779444.922	-0.020	41782.41248053
296238.487	2779445.732	0.020	41782.41249211
296238.102	2779446.564	0.020	41782.41250368
296237.753	2779447.352	-0.020	41782.41251525
296237.385	2779448.199	0.010	41782.41252683
296237.050	2779449.002	4.420	41782.41253840
296236.340	2779450.645	-0.010	41782.41256155
296235.980	2779451.464	0.020	41782.41257313
296235.598	2779452.290	0.020	41782.41258470
296235.250	2779453.095	-0.010	41782.41259627
296234.879	2779453.925	0.010	41782.41260785
296234.494	2779454.761	0.010	41782.41261942
296232.963	2779458.042	0.010	41782.41266572
296231.846	2779460.540	0.010	41782.41270044
296231.506	2779461.351	-0.010	41782.41271201
296231.136	2779462.200	-0.010	41782.41272359
296230.387	2779463.874	-0.010	41782.41274674
296230.033	2779464.668	-0.020	41782.41275831
296229.283	2779466.339	-0.010	41782.41278146
296228.884	2779467.133	-0.030	41782.41279303
296228.512	2779467.937	-0.010	41782.41280461
296227.757	2779469.605	-0.020	41782.41282775
296227.037	2779471.250	0.010	41782.41285090
296225.880	2779473.748	0.020	41782.41288563
296225.500	2779474.554	0.010	41782.41289720
296224.755	2779476.185	0.020	41782.41292035
296224.364	2779477.010	0.030	41782.41293192
296223.979	2779477.821	0.010	41782.41294350
296223.610	2779478.640	0.010	41782.41295507
296223.234	2779479.485	0.030	41782.41296664
296222.884	2779480.293	0.020	41782.41297822
296222.507	2779481.133	0.010	41782.41298979
296222.150	2779481.918	0.010	41782.41300137
296221.766	2779482.756	0.020	41782.41301294
296220.652	2779485.194	0.010	41782.41304766
296219.191	2779488.376	0.010	41782.41309396
296218.467	2779490.023	-0.010	41782.41311711
296218.081	2779490.841	-0.010	41782.41312868
296217.712	2779491.632	0.010	41782.41314025
296217.307	2779492.475	-0.010	41782.41315183
296216.927	2779493.282	-0.020	41782.41316340
296216.538	2779494.093	0.010	41782.41317498
296215.753	2779495.735	-0.030	41782.41319813
296215.348	2779496.572	-0.010	41782.41320970
296214.936	2779497.425	4.410	41782.41322127
296214.551	2779498.263	-0.020	41782.41323285
296214.181	2779499.102	-0.020	41782.41324442
296213.780	2779499.950	4.470	41782.41325600
296213.373	2779500.799	-0.010	41782.41326757
296212.977	2779501.627	-0.010	41782.41327914
296212.567	2779502.473	0.010	41782.41329072
296211.755	2779504.122	-0.010	41782.41331387
296211.354	2779504.955	-0.010	41782.41332544
296210.143	2779507.457	-0.010	41782.41336016
296209.342	2779509.135	0.010	41782.41338331
296208.548	2779510.799	4.150	41782.41340646
296208.139	2779511.641	0.020	41782.41341803
296207.734	2779512.494	3.680	41782.41342961
296207.338	2779513.318	-0.020	41782.41344118
296206.939	2779514.150	0.010	41782.41345275
296206.517	2779515.015	0.010	41782.41346433
296206.123	2779515.841	3.850	41782.41347590
296205.318	2779517.538	0.010	41782.41349905
296203.280	2779521.804	-0.010	41782.41355692
296202.871	2779522.655	-0.010	41782.41356850
296202.479	2779523.504	0.010	41782.41358007
296201.672	2779525.231	-0.010	41782.41360322
296200.433	2779527.871	-0.010	41782.41363794
296200.027	2779528.753	5.770	41782.41364951
296199.628	2779529.614	5.830	41782.41366109
296199.231	2779530.503	5.850	41782.41367266
296198.825	2779531.361	5.880	41782.41368424
296198.414	2779532.248	5.970	41782.41369581
296198.009	2779533.136	5.980	41782.41370738
296197.615	2779534.007	6.010	41782.41371896
296197.207	2779534.924	6.020	41782.41373053
296196.790	2779535.779	6.000	41782.41374211
296196.373	2779536.686	6.060	41782.41375368
296195.960	2779537.583	6.000	41782.41376525
296195.554	2779538.501	6.000	41782.41377683
296195.148	2779539.423	6.020	41782.41378840
296194.745	2779540.314	6.050	41782.41379998
296194.334	2779541.252	6.060	41782.41381155
296193.953	2779542.143	6.120	41782.41382313
296193.540	2779543.064	6.200	41782.41383470
296193.142	2779544.003	6.140	41782.41384627
296192.745	2779544.912	6.110	41782.41385785
296192.340	2779545.858	6.200	41782.41386942
296191.934	2779546.805	6.140	41782.41388100
296191.530	2779547.737	6.080	41782.41389257
296191.131	2779548.659	6.160	41782.41390414
296190.716	2779549.627	6.180	41782.41391572
296190.304	2779550.593	6.210	41782.41392729
296189.897	2779551.514	6.360	41782.41393887
296189.485	2779552.505	6.410	41782.41395044
296189.078	2779553.387	6.340	41782.41396201
296188.664	2779554.370	6.410	41782.41397359
296188.256	2779555.357	6.480	41782.41398516
296187.846	2779556.336	6.390	41782.41399674
296187.442	2779557.297	6.400	41782.41400831
296187.023	2779558.254	6.300	41782.41401988
296186.605	2779559.207	6.190	41782.41403146
296186.178	2779560.168	6.120	41782.41404303
296185.765	2779561.107	6.000	41782.41405461
296185.340	2779562.082	6.000	41782.41406618
296184.931	2779563.049	6.010	41782.41407775
296184.526	2779564.010	6.040	41782.41408933
296184.110	2779564.950	6.230	41782.41410090
296183.687	2779565.940	6.240	41782.41411248
296183.269	2779566.896	6.270	41782.41412405
296182.854	2779567.877	6.360	41782.41413562
296182.438	2779568.842	6.360	41782.41414720
296182.023	2779569.850	6.370	41782.41415877
296181.597	2779570.789	6.460	41782.41417035
296181.160	2779571.795	6.560	41782.41418192
296180.743	2779572.756	6.400	41782.41419350
296180.324	2779573.747	6.430	41782.41420507
296179.897	2779574.729	6.440	41782.41421664
296179.485	2779575.682	6.440	41782.41422822
296179.063	2779576.671	6.470	41782.41423979
296178.644	2779577.659	6.450	41782.41425137
296178.242	2779578.638	6.490	41782.41426294
296177.828	2779579.647	6.480	41782.41427451
