296375.215	2779381.196	6.030	41782.44088295
296375.644	2779381.675	6.000	41782.44089453
296376.221	2779382.159	6.020	41782.44090610
296376.916	2779382.776	5.990	41782.44091767
296377.723	2779383.468	6.020	41782.44092925
296378.572	2779384.331	6.040	41782.44094082
296379.437	2779385.393	6.010	41782.44095240
296380.313	2779386.593	6.050	41782.44096397
296381.122	2779387.972	6.090	41782.44097554
296381.873	2779389.488	6.100	41782.44098712
296382.487	2779391.047	6.120	41782.44099869
296382.874	2779392.674	6.100	41782.44101027
296383.243	2779394.320	6.110	41782.44102184
296383.445	2779395.996	6.100	41782.44103341
296383.535	2779397.702	6.100	41782.44104499
296383.500	2779399.436	6.100	41782.44105656
296383.356	2779401.176	6.100	41782.44106814
296383.082	2779402.907	6.090	41782.44107971
296382.745	2779404.643	6.090	41782.44109128
296382.274	2779406.373	6.080	41782.44110286
296381.775	2779408.125	6.070	41782.44111443
296381.199	2779409.867	6.070	41782.44112601
296380.595	2779411.657	6.060	41782.44113758
296379.953	2779413.466	6.050	41782.44114916
296379.285	2779415.324	6.060	41782.44116073
296378.606	2779417.215	6.040	41782.44117230
296377.909	2779419.115	6.040	41782.44118388
296377.212	2779421.067	6.040	41782.44119545
296376.515	2779423.032	6.020	41782.44120703
296375.825	2779425.049	6.040	41782.44121860
296375.147	2779427.099	6.030	41782.44123017
296374.453	2779429.158	6.030	41782.44124175
296373.742	2779431.257	6.030	41782.44125332
296373.015	2779433.371	6.020	41782.44126490
296372.279	2779435.507	6.030	41782.44127647
296371.517	2779437.647	6.030	41782.44128804
296370.728	2779439.805	6.030	41782.44129962
296369.901	2779441.968	6.030	41782.44131119
296369.035	2779444.145	6.030	41782.44132277
296368.157	2779446.322	6.030	41782.44133434
296367.230	2779448.499	6.030	41782.44134591
296366.301	2779450.680	6.040	41782.44135749
296365.364	2779452.881	6.040	41782.44136906
296364.429	2779455.081	6.030	41782.44138064
296363.488	2779457.293	6.040	41782.44139221
296362.545	2779459.501	6.040	41782.44140378
296361.606	2779461.722	6.040	41782.44141536
296360.674	2779463.965	6.040	41782.44142693
296359.749	2779466.220	6.040	41782.44143851
296358.818	2779468.475	6.040	41782.44145008
296357.904	2779470.742	6.050	41782.44146166
296356.984	2779473.007	6.040	41782.44147323
296356.077	2779475.284	6.050	41782.44148480
296355.179	2779477.578	6.040	41782.44149638
296354.285	2779479.862	6.040	41782.44150795
296353.387	2779482.172	6.050	41782.44151953
296352.488	2779484.469	6.040	41782.44153110
296351.598	2779486.785	6.050	41782.44154267
296350.729	2779489.094	6.040	41782.44155425
296349.895	2779491.410	6.050	41782.44156582
296349.060	2779493.736	6.040	41782.44157740
296348.266	2779496.053	6.050	41782.44158897
296347.461	2779498.395	6.050	41782.44160054
296346.699	2779500.730	6.050	41782.44161212
296345.943	2779503.101	6.060	41782.44162369
296345.205	2779505.470	6.040	41782.44163527
296344.469	2779507.837	6.050	41782.44164684
296343.746	2779510.235	6.040	41782.44165841
296343.057	2779512.610	6.050	41782.44166999
296342.320	2779514.991	6.050	41782.44168156
296341.595	2779517.361	6.040	41782.44169314
296340.815	2779519.735	6.060	41782.44170471
296340.047	2779522.108	6.040	41782.44171628
296339.276	2779524.485	6.060	41782.44172786
296338.471	2779526.847	6.040	41782.44173943
296337.675	2779529.209	6.050	41782.44175101
296336.842	2779531.601	6.040	41782.44176258
296336.017	2779533.958	6.050	41782.44177416
296335.181	2779536.334	6.050	41782.44178573
296334.339	2779538.681	6.040	41782.44179730
296333.487	2779541.049	6.050	41782.44180888
296332.620	2779543.397	6.040	41782.44182045
296331.748	2779545.734	6.050	41782.44183203
296330.849	2779548.065	6.050	41782.44184360
296329.937	2779550.391	6.050	41782.44185517
296328.996	2779552.723	6.050	41782.44186675
296328.054	2779555.045	6.050	41782.44187832
296327.112	2779557.373	6.050	41782.44188990
296326.149	2779559.678	6.050	41782.44190147
296325.185	2779562.001	6.050	41782.44191304
296324.213	2779564.316	6.050	41782.44192462
296323.223	2779566.624	6.050	41782.44193619
296322.233	2779568.927	6.050	41782.44194777
296321.221	2779571.234	6.050	41782.44195934
296320.227	2779573.548	6.050	41782.44197091
296319.198	2779575.830	6.050	41782.44198249
296318.153	2779578.125	6.060	41782.44199406
296317.090	2779580.399	6.050	41782.44200564
296316.019	2779582.691	6.060	41782.44201721
296314.964	2779584.981	6.050	41782.44202878
296313.874	2779587.249	6.050	41782.44204036
296312.794	2779589.546	6.050	41782.44205193
296311.713	2779591.826	6.050	41782.44206351
296310.657	2779594.114	6.050	41782.44207508
296309.589	2779596.388	6.050	41782.44208666
296308.530	2779598.695	6.060	41782.44209823
296307.461	2779600.991	6.050	41782.44210980
296306.407	2779603.302	6.050	41782.44212138
296305.345	2779605.607	6.050	41782.44213295
296304.270	2779607.921	6.050	41782.44214453
296303.176	2779610.224	6.040	41782.44215610
296302.081	2779612.522	6.050	41782.44216767
296300.981	2779614.810	6.040	41782.44217925
296299.849	2779617.093	6.040	41782.44219082
296298.728	2779619.386	6.050	41782.44220240
296297.569	2779621.643	6.040	41782.44221397
296296.413	2779623.913	6.050	41782.44222554
296295.233	2779626.178	6.050	41782.44223712
296294.041	2779628.446	6.050	41782.44224869
296292.863	2779630.698	6.050	41782.44226027
296291.684	2779632.942	6.060	41782.44227184
296290.508	2779635.195	6.050	41782.44228341
296289.326	2779637.427	6.050	41782.44229499
296288.164	2779639.688	6.060	41782.44230656
296286.997	2779641.925	6.050	41782.44231814
