X	Y	Z	T
296248.011	2779423.481	0.010	41782.41217961
296247.321	2779425.173	0.010	41782.41220275
296246.978	2779425.983	0.020	41782.41221433
296246.264	2779427.648	-0.010	41782.41223748
296245.903	2779428.472	0.020	41782.41224905
296245.540	2779429.296	0.010	41782.41226063
296245.183	2779430.125	-0.010	41782.41227220
296244.477	2779431.769	0.020	41782.41229535
296244.131	2779432.586	-0.010	41782.41230692
296243.789	2779433.401	-0.010	41782.41231850
296243.430	2779434.210	0.010	41782.41233007
296243.082	2779435.009	0.010	41782.41234164
296242.715	2779435.833	-0.010	41782.41235322
296242.020	2779437.468	0.020	41782.41237637
296241.363	2779439.125	-0.020	41782.41239951
296241.009	2779439.952	0.020	41782.41241109
296240.651	2779440.782	0.010	41782.41242266
296240.296	2779441.615	-0.020	41782.41243424
296239.948	2779442.444	4.130	41782.41244581
296239.578	2779443.274	0.030	41782.41245738
296238.842	2779444.922	-0.020	41782.41248053
296238.487	2779445.732	0.020	41782.41249211
296238.102	2779446.564	0.020	41782.41250368
296237.753	2779447.352	-0.020	41782.41251525
296237.385	2779448.199	0.010	41782.41252683
296237.050	2779449.002	4.420	41782.41253840
296236.340	2779450.645	-0.010	41782.41256155
296235.980	2779451.464	0.020	41782.41257313
296235.598	2779452.290	0.020	41782.41258470
296235.250	2779453.095	-0.010	41782.41259627
296234.879	2779453.925	0.010	41782.41260785
296234.494	2779454.761	0.010	41782.41261942
296232.963	2779458.042	0.010	41782.41266572
296231.846	2779460.540	0.010	41782.41270044
296231.506	2779461.351	-0.010	41782.41271201
296231.136	2779462.200	-0.010	41782.41272359
296230.387	2779463.874	-0.010	41782.41274674
296230.033	2779464.668	-0.020	41782.41275831
296229.283	2779466.339	-0.010	41782.41278146
296228.884	2779467.133	-0.030	41782.41279303
296228.512	2779467.937	-0.010	41782.41280461
296227.757	2779469.605	-0.020	41782.41282775
296227.037	2779471.250	0.010	41782.41285090
296225.880	2779473.748	0.020	41782.41288563
296225.500	2779474.554	0.010	41782.41289720
296224.755	2779476.185	0.020	41782.41292035
296224.364	2779477.010	0.030	41782.41293192
296223.979	2779477.821	0.010	41782.41294350
296223.610	2779478.640	0.010	41782.41295507
296223.234	2779479.485	0.030	41782.41296664
296222.884	2779480.293	0.020	41782.41297822
296222.507	2779481.133	0.010	41782.41298979
296222.150	2779481.918	0.010	41782.41300137
296221.766	2779482.756	0.020	41782.41301294
296220.652	2779485.194	0.010	41782.41304766
296219.191	2779488.376	0.010	41782.41309396
296218.467	2779490.023	-0.010	41782.41311711
296218.081	2779490.841	-0.010	41782.41312868
296217.712	2779491.632	0.010	41782.41314025
